City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,holualoa,19.6228,-155.9522,75.04,81,75,11.5,US,1707180785
1,west island,-12.1568,96.8225,82.38,83,40,6.91,CC,1707180516
2,afaahiti,-17.75,-149.2833,75.07,93,100,23.13,PF,1707180592
3,tiksi,71.6872,128.8694,-25.51,97,97,3.49,RU,1707180785
4,grytviken,-54.2811,-36.5092,42.93,84,20,16.37,GS,1707180544
5,newman,37.3138,-121.0208,57.15,78,99,4.0,US,1707180785
6,yellowknife,62.456,-114.3525,-10.68,77,20,0.0,CA,1707180713
7,thompson,55.7435,-97.8558,28.56,100,100,5.75,CA,1707180714
8,petropavlovsk-kamchatsky,53.0452,158.6483,18.19,49,75,2.24,RU,1707180785
9,ribeira grande,38.5167,-28.7,63.77,93,100,14.0,PT,1707180490
10,blackmans bay,-43.0167,147.3167,63.73,46,79,1.01,AU,1707180786
11,ushuaia,-54.8,-68.3,51.46,54,0,9.22,AR,1707180786
12,hotan,37.0997,79.9269,24.4,89,97,3.33,CN,1707180786
13,port saint john's,-31.6229,29.5448,72.57,92,0,5.88,ZA,1707180540
14,puerto natales,-51.7236,-72.4875,48.6,75,100,1.57,CL,1707180786
15,timmins,48.4669,-81.3331,28.22,86,100,3.44,CA,1707180556
16,newtown,-33.8984,151.1775,77.18,83,75,23.02,AU,1707180786
17,conde,-7.2597,-34.9075,81.86,83,20,6.91,BR,1707180786
18,enewetak,11.3474,162.3373,79.95,72,98,15.97,MH,1707180543
19,hammerfest,70.6634,23.6821,13.86,88,88,8.28,NO,1707180787
20,maintirano,-18.0667,44.0167,80.44,82,50,3.8,MG,1707180787
21,bhinmal,25.0,72.25,62.46,61,56,5.59,IN,1707180787
22,trincomalee,8.5711,81.2335,78.93,71,31,11.45,LK,1707180787
23,bredasdorp,-34.5322,20.0403,70.0,81,100,3.33,ZA,1707180787
24,angaur state,6.906,134.13,81.23,83,100,16.28,PW,1707180787
25,edinburgh of the seven seas,-37.0676,-12.3116,60.08,62,0,2.04,SH,1707180787
26,galliano,29.4422,-90.2992,55.4,78,89,10.78,US,1707180788
27,adamstown,-25.066,-130.1015,75.67,81,100,11.34,PN,1707180788
28,eyl,7.9803,49.8164,75.16,72,69,12.08,SO,1707180688
29,colonia del sacramento,-34.4667,-57.85,77.13,78,9,23.58,UY,1707180788
30,sauteurs,12.2167,-61.6333,81.3,86,22,20.54,GD,1707180788
31,hermanus,-34.4187,19.2345,70.81,88,100,5.03,ZA,1707180542
32,talnakh,69.4865,88.3972,-12.69,89,33,5.41,RU,1707180788
33,stanley,54.868,-1.6985,50.77,86,100,21.56,GB,1707180788
34,taroa,8.7058,171.2275,81.36,78,100,17.6,MH,1707180789
35,waitangi,-43.9535,-176.5597,66.81,86,90,18.39,NZ,1707180789
36,port-aux-francais,-49.35,70.2167,43.11,74,100,28.7,TF,1707180703
37,nguigmi,14.2495,13.1092,64.51,25,2,15.99,NE,1707180789
38,ust-nera,64.5667,143.2,-15.47,84,98,1.7,RU,1707180715
